N,epsilon,method,tf32_tol,fp64_tol,tf32_maxiter,fp64_maxiter,repeats,time_tf32_initial_sec,time_orthogonalize_sec,time_rayleigh_transform_sec,time_fp64_refine_sec,time_backtransform_sec,time_total_sec,absolute_residual,tf32_fixed_point_residual,fp64_fixed_point_residual,tf32_iterations,fp64_iterations,tf32_converged,fp64_converged,gpu_name,status,error
4096,0.08,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.017260947171598671,0.065957952756434679,0.016051741037517785,0.032863649725914004,0.0081014102324843407,0.14023570092394949,2.1827690109155639e-09,9.2712880469306858e-07,4.9464024887525786e-15,8,3,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.08,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.087264896184206006,nan,nan,0.95242656553164129,nan,1.0396918597631157,1.5213478448414875e-09,5.436182414924628e-07,6.2418601828024705e-13,9,14,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.08,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.087488362379372117,0.24441317580640315,0.12603378212079405,0.25508405100554227,0.061666861455887553,0.77468623276799919,1.0047400625715924e-08,5.436182414924628e-07,5.9435069493818265e-15,9,3,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.08,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.66403155243024226,nan,nan,7.552676621545106,nan,8.2167087220586836,5.5096969985760206e-09,5.6002236620736517e-07,9.8700631882355783e-13,9,14,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.08,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.66978447986766698,1.1398652599193155,1.0544721258804202,2.0168957586400209,0.49751833435148002,5.3785359586589037,2.8341883051289386e-08,5.6002236620736517e-07,4.9712721695430575e-15,9,3,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.1,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.020194009784609078,nan,nan,0.14403043212369085,nan,0.16422483315691352,1.251832154465139e-09,6.9730331904283027e-07,8.9389681554589655e-13,11,16,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.1,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.020820373855531215,0.065962294582277536,0.016020752303302289,0.03299253908917308,0.008074205461889505,0.14387016529217361,2.0049001386682088e-09,6.9730331904283027e-07,9.8927812002617492e-15,11,3,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.1,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.10528986137360334,nan,nan,1.3317746265791357,nan,1.4370649121701717,2.0202566071853126e-09,9.7970023412496374e-07,7.1155668974874912e-13,11,20,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.1,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.10525703663006425,0.24418512582778931,0.12571073696017265,0.25458365157246587,0.062126271426677704,0.79186282241716976,1.1109669083132706e-08,9.7970023412496374e-07,1.2417482734724027e-14,11,3,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.1,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.88142780680209398,nan,nan,10.563100325223058,nan,11.444528496544809,3.9424475066837999e-09,7.5547705889587955e-07,5.9646006249991629e-13,12,20,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.1,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.88328153006732468,1.144435065984726,1.0544573358260094,2.0202860183082523,0.49687917837873102,5.5993391285650436,3.7455575732153463e-08,7.5547705889587955e-07,1.010765954613469e-14,12,3,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.12,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.027295135799795388,nan,nan,0.19412043485790492,nan,0.22141598127782344,1.0259276178627042e-09,9.4362637892625555e-07,6.2827611933487375e-13,17,22,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.12,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.027987092919647693,0.065994754154235127,0.016025273501873015,0.03303040601313114,0.0080247033387422558,0.15106222992762924,1.7714735874239718e-09,9.4362637892625555e-07,1.5202993561267938e-14,17,3,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.12,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.19355085073038936,nan,nan,1.3959629952907562,nan,1.5895142761990428,2.8658962380089589e-09,9.9639955799330038e-07,7.4299134733232609e-13,21,21,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.12,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.19321100860834123,0.24439091011881828,0.12568182311952114,0.25535468878224493,0.061678479332476853,0.88031690996140244,1.1807307701310274e-08,9.9639955799330038e-07,1.798052631826377e-14,21,3,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.12,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,2.0348957508802412,nan,nan,12.579636640194803,nan,14.614532791264356,5.1727127899742547e-09,9.875042527486643e-07,6.5182982068935035e-13,28,24,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.12,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,2.0410809252411126,1.1397702860645951,1.054820915684104,2.0170645189471541,0.49605550086125733,6.7487921467982233,4.5504686604058465e-08,9.875042527486643e-07,1.5405119535644121e-14,28,3,true,true,NVIDIA A100-SXM4-80GB,ok,
