davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation
28,23,5.9417194891573747e-13,1.8090572179913088e-13,1,51,2.4652244811829573e-10,29,5.4778303319300742e-13,2.4652244811829573e-10,1.9317880628477724e-14,0,1,28,2.4652244811829573e-10,5.4778303319300742e-13,2.4652244811829573e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,28,0,12,0
29,29,2.4652244811829573e-10,1.5726031146709213e-10,1,53,1.5726031146709213e-10,29,4.3860790574785208e-13,1.5726031146709213e-10,1.3766765505351941e-14,0,1,29,1.5726031146709213e-10,4.3860790574785208e-13,1.5726031146709213e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,29,0,12,0
29,28,5.4778303319300742e-13,4.3860790574785208e-13,1,53,1.5726031146709213e-10,29,4.3860790574785208e-13,1.5726031146709213e-10,1.3766765505351941e-14,0,1,29,1.5726031146709213e-10,4.3860790574785208e-13,1.5726031146709213e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,29,0,12,0
30,29,1.5726031146709213e-10,1.4759996775139624e-10,1,35,1.4759996775139624e-10,29,4.3829634409799269e-13,1.4759996775139624e-10,1.4432899320127035e-14,1,1,30,1.4759996775139624e-10,4.3829634409799269e-13,1.4759996775139624e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,30,0,12,0
30,24,4.8707945266530898e-13,2.3478134403966195e-13,1,35,1.4759996775139624e-10,29,4.3829634409799269e-13,1.4759996775139624e-10,1.4432899320127035e-14,1,1,30,1.4759996775139624e-10,4.3829634409799269e-13,1.4759996775139624e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,30,0,12,0
31,28,4.3829634409799269e-13,2.98397471652153e-13,1,37,1.3827327307364756e-10,29,2.98397471652153e-13,1.3827327307364756e-10,1.6653345369377348e-14,0,1,31,1.3827327307364756e-10,2.98397471652153e-13,1.3827327307364756e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,31,0,12,0
31,29,1.4759996775139624e-10,1.3827327307364756e-10,1,37,1.3827327307364756e-10,29,2.98397471652153e-13,1.3827327307364756e-10,1.6653345369377348e-14,0,1,31,1.3827327307364756e-10,2.98397471652153e-13,1.3827327307364756e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,31,0,12,0
32,28,2.98397471652153e-13,3.2043401281067369e-13,1,39,1.1436301337704304e-10,29,3.2043401281067369e-13,1.1436301337704304e-10,1.6431300764452317e-14,0,1,32,1.1436301337704304e-10,2.98397471652153e-13,1.1436301337704304e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,32,0,12,0
32,29,1.3827327307364756e-10,1.1436301337704304e-10,1,39,1.1436301337704304e-10,29,3.2043401281067369e-13,1.1436301337704304e-10,1.6431300764452317e-14,0,1,32,1.1436301337704304e-10,2.98397471652153e-13,1.1436301337704304e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,32,0,12,0
33,28,3.2043401281067369e-13,2.5078397802528156e-13,1,41,9.0157951849959294e-11,29,2.5078397802528156e-13,9.0157951849959294e-11,1.3766765505351941e-14,0,1,33,9.0157951849959294e-11,2.5078397802528156e-13,9.0157951849959294e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,33,0,12,0
